ADUANA DE SALIDA;FECHA;EXPORTADOR;PAIS DE DESTINO;CONTINENTE;VALOR
MARITIMA CALLAO;NOVIEMBRE;RAINFOREST TRADING S.A.C.;ALEMANIA;EUROPA;$94,727.68
MARITIMA CALLAO;NOVIEMBRE;RAINFOREST TRADING S.A.C.;ALEMANIA;EUROPA;$136,047.30
MARITIMA CALLAO;DICIEMBRE;DOÐA DOROTEA S.A.;ALEMANIA;EUROPA;$49,427.83
MARITIMA CALLAO;DICIEMBRE;DOÐA DOROTEA S.A.;ALEMANIA;EUROPA;$48,253.00
MARITIMA CALLAO;DICIEMBRE;E & J GAVILAN EXPORT SOCIEDAD ANËNIMA CE;ALEMANIA;EUROPA;$37,215.53
MARITIMA CALLAO;DICIEMBRE;DOÐA DOROTEA S.A.;ALEMANIA;EUROPA;$48,610.50
MARITIMA CALLAO;DICIEMBRE;OPP FILM S.A.;ALEMANIA;EUROPA;$29,335.14
MARITIMA CALLAO;DICIEMBRE;OPP FILM S.A.;ALEMANIA;EUROPA;$29,644.82
MARITIMA CALLAO;DICIEMBRE;OPP FILM S.A.;ALEMANIA;EUROPA;$29,996.23
MARITIMA CALLAO;DICIEMBRE;OPP FILM S.A.;ALEMANIA;EUROPA;$30,116.49
MARITIMA CALLAO;DICIEMBRE;OPP FILM S.A.;ALEMANIA;EUROPA;$29,860.19
MARITIMA CALLAO;DICIEMBRE;OPP FILM S.A.;ALEMANIA;EUROPA;$29,931.10
MARITIMA CALLAO;DICIEMBRE;OPP FILM S.A.;ALEMANIA;EUROPA;$29,920.73
MARITIMA CALLAO;DICIEMBRE;CREDITEX S.A.A.;ALEMANIA;EUROPA;$77,323.60
MARITIMA CALLAO;DICIEMBRE;OPP FILM S.A.;ALEMANIA;EUROPA;$31,813.72
MARITIMA CALLAO;DICIEMBRE;COOPERAUSTRALIASTRIAIVA AGROECOLËGICA INDUSTRIAL JUA;ALEMANIA;EUROPA;$111,150.00
MARITIMA CALLAO;DICIEMBRE;COOPERAUSTRALIASTRIAIVA AGROECOLËGICA INDUSTRIAL JUA;ALEMANIA;EUROPA;$150,457.50
MARITIMA CALLAO;DICIEMBRE;COOPERAUSTRALIASTRIAIVA AGROECOLËGICA INDUSTRIAL JUA;ALEMANIA;EUROPA;$40,702.50
MARITIMA CALLAO;DICIEMBRE;NEXA RESOURCES PERU S.A.A.;ALEMANIA;EUROPA;$736,073.64
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$334.01
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$70.90
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$133.60
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$21.27
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$56.12
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$187.08
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$6,107.13
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$341.89
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$128.99
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$61.43
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$1,038.27
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$325.73
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$362.23
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$200.41
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$63.81
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$168.37
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$100.20
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$1,061.35
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$712.50
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$565.50
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$121.50
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$350.00
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$310.00
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$2,850.00
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$850.00
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$171.00
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$792.00
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$1,890.69
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$3.81
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$42.17
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$580.00
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$155.00
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$219.87
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$495.00
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$36.64
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$417.97
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$90.56
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$265.36
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$203.76
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$1,436.29
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$890.84
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$169.72
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$230.61
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$1,711.13
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$138.47
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$99.82
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$138.65
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$95.68
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$332.75
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$324.32
MARITIMA CALLAO;DICIEMBRE;GRUPO EURO PERU S.A.C.;ARGENTINA;AMERICA DEL SUR;$806.18
